edge,r2,x,f_kan,f_cubic
2,0.9427,-0.2345,-0.01931,-0.01966
2,0.9427,-0.2235,-0.01925,-0.01975
2,0.9427,-0.2126,-0.0192,-0.01984
2,0.9427,-0.2016,-0.01917,-0.01994
2,0.9427,-0.1906,-0.01916,-0.02005
2,0.9427,-0.1797,-0.01916,-0.02017
2,0.9427,-0.1687,-0.01918,-0.02029
2,0.9427,-0.1577,-0.01921,-0.02042
2,0.9427,-0.1468,-0.01926,-0.02056
2,0.9427,-0.1358,-0.01932,-0.0207
2,0.9427,-0.1248,-0.0194,-0.02084
2,0.9427,-0.1139,-0.01949,-0.02099
2,0.9427,-0.1029,-0.0196,-0.02114
2,0.9427,-0.0919,-0.01972,-0.02129
2,0.9427,-0.081,-0.01985,-0.02144
2,0.9427,-0.07,-0.01999,-0.0216
2,0.9427,-0.0591,-0.02015,-0.02175
2,0.9427,-0.0481,-0.02031,-0.0219
2,0.9427,-0.0371,-0.02049,-0.02206
2,0.9427,-0.0262,-0.02067,-0.02221
2,0.9427,-0.0152,-0.02086,-0.02236
2,0.9427,-0.0042,-0.02106,-0.0225
2,0.9427,0.0067,-0.02126,-0.02264
2,0.9427,0.0177,-0.02146,-0.02278
2,0.9427,0.0287,-0.02167,-0.02291
2,0.9427,0.0396,-0.02188,-0.02304
2,0.9427,0.0506,-0.02209,-0.02316
2,0.9427,0.0616,-0.0223,-0.02328
2,0.9427,0.0725,-0.02251,-0.02338
2,0.9427,0.0835,-0.02272,-0.02348
2,0.9427,0.0945,-0.02291,-0.02357
2,0.9427,0.1054,-0.02311,-0.02365
2,0.9427,0.1164,-0.02329,-0.02372
2,0.9427,0.1274,-0.02347,-0.02378
2,0.9427,0.1383,-0.02364,-0.02383
2,0.9427,0.1493,-0.02379,-0.02386
2,0.9427,0.1603,-0.02393,-0.02389
2,0.9427,0.1712,-0.02406,-0.0239
2,0.9427,0.1822,-0.02417,-0.02389
2,0.9427,0.1932,-0.02426,-0.02387
2,0.9427,0.2041,-0.02434,-0.02384
2,0.9427,0.2151,-0.02439,-0.02379
2,0.9427,0.2261,-0.02442,-0.02372
2,0.9427,0.237,-0.02443,-0.02364
2,0.9427,0.248,-0.02441,-0.02354
2,0.9427,0.259,-0.02437,-0.02342
2,0.9427,0.2699,-0.0243,-0.02328
2,0.9427,0.2809,-0.02421,-0.02312
2,0.9427,0.2919,-0.02408,-0.02294
2,0.9427,0.3028,-0.02393,-0.02274
2,0.9427,0.3138,-0.02374,-0.02252
2,0.9427,0.3248,-0.02352,-0.02227
2,0.9427,0.3357,-0.02327,-0.02201
2,0.9427,0.3467,-0.02299,-0.02172
2,0.9427,0.3577,-0.02267,-0.0214
2,0.9427,0.3686,-0.02231,-0.02106
2,0.9427,0.3796,-0.02192,-0.0207
